transaction_uti,isin,notional,notional_currency,transaction_type,transaction_datetime,rate,lei,legal_name,bic,transaction_cost_explained,transaction_cost
1030291281MARKITWIRE0000000000000112874138,EZ9724VTXK48,763000,GBP,Sell,11/25/2020 16:06:22,0.0070956,XKZZ2JZF41MRHTR1V493,CITIGROUP GLOBAL MARKETS LIMITED,['SBILGB2LXXX'],"763000 * 0,0070956 - 763000",-757586.0572
0000452AMARKITWIRE97461020,EZN7BQZMQBR8,5000000,GBP,Buy,12/17/2020 13:15:39,0.0062469,213800MBWEIJDM5CU638,LLOYDS BANK CORPORATE MARKETS PLC,['LLCMGB22XXX'],"5000000 * 0,0062469 - 5000000",-4968765.5
1030244641MARKITWIRE0000000000000072110232,EZNB2LV26CY9,19570000,GBP,Sell,12/16/2020 15:38:43,0.01315,K6Q0W1PS1L1O4IQL9C32,J.P. MORGAN SECURITIES PLC,['JPMSGB2LXXX'],"19570000 * 0,01315 - 19570000",-19312654.5
1030291281MARKITWIRE0000000000000080152595,EZD7JRS42975,6700000,GBP,Sell,12/21/2020 15:54:14,0.0137,XKZZ2JZF41MRHTR1V493,CITIGROUP GLOBAL MARKETS LIMITED,['SBILGB2LXXX'],"6700000 * 0,0137 - 6700000",-6608210.0
1030244641MARKITWIRE0000000000000072697124,EZQW6HTFKNZ9,19510000,GBP,Sell,12/16/2020 15:37:01,0.013605,K6Q0W1PS1L1O4IQL9C32,J.P. MORGAN SECURITIES PLC,['JPMSGB2LXXX'],"19510000 * 0,013605 - 19510000",-19244566.45
0000452AMARKITWIRE26225363,EZKK6069DP48,14100000,GBP,Sell,12/17/2020 12:52:14,0.0060063,MP6I5ZYZBEU3UXPYFY54,HSBC BANK PLC,['MIDLGB22XXX'],"14100000 * 0,0060063 - 14100000",-14015311.17
0000452AMARKITWIRE106469723,EZ65LX7J3NL1,12000000,GBP,Buy,12/15/2020 15:17:29,0.00946,MP6I5ZYZBEU3UXPYFY54,HSBC BANK PLC,['MIDLGB22XXX'],"12000000 * 0,00946 - 12000000",-11886480.0
1030244641MARKITWIRE0000000000000112880849,EZ6W26XXZTS6,1853000,GBP,Sell,11/25/2020 16:10:25,0.0061606,K6Q0W1PS1L1O4IQL9C32,J.P. MORGAN SECURITIES PLC,['JPMSGB2LXXX'],"1853000 * 0,0061606 - 1853000",-1841584.4082
0000452AMARKITWIRE88889673,EZTH907TJ6W0,22000000,GBP,Buy,12/17/2020 13:05:48,0.0058325,MP6I5ZYZBEU3UXPYFY54,HSBC BANK PLC,['MIDLGB22XXX'],"22000000 * 0,0058325 - 22000000",-21871685.0
0000452AMARKITWIRE73224269,EZSJCJ5GMYW6,8000000,GBP,Buy,12/11/2020 12:42:03,0.0054013,BFXS5XCH7N0Y05NIXW11,ABN AMRO Bank N.V.,"['ABNANL2AXXX', 'BETHDEF1XXX', 'GSLANL21XXX', 'KBWFNL21XXX', 'VSBVNL21XXX', 'ZEELNL21XXX']","Abs(8000000 * (1 / 0,0054013) - 8000000)",1473124914.3724658
0000452AMARKITWIRE188040944,EZ29LKLNM4G1,24000000,EUR,Sell,06/22/2022 16:09:23,0.00289,BFXS5XCH7N0Y05NIXW11,ABN AMRO Bank N.V.,"['ABNANL2AXXX', 'BETHDEF1XXX', 'GSLANL21XXX', 'KBWFNL21XXX', 'VSBVNL21XXX', 'ZEELNL21XXX']","Abs(24000000 * (1 / 0,00289) - 24000000)",8280498269.896193
0000452AMARKITWIRE189056073,EZ53S44K7JL2,14700000,EUR,Buy,07/07/2022 14:12:38,0.00238,BFXS5XCH7N0Y05NIXW11,ABN AMRO Bank N.V.,"['ABNANL2AXXX', 'BETHDEF1XXX', 'GSLANL21XXX', 'KBWFNL21XXX', 'VSBVNL21XXX', 'ZEELNL21XXX']","Abs(14700000 * (1 / 0,00238) - 14700000)",6161770588.235294
1030238917C2B4CB90B9D211E9984D070361192EBB,EZ6Y30GC29Z2,214000000,EUR,Buy,08/08/2019 13:50:00,0.00048,K6Q0W1PS1L1O4IQL9C32,J.P. MORGAN SECURITIES PLC,['JPMSGB2LXXX'],"214000000 * 0,00048 - 214000000",-213897280.0
0000452AMARKITWIRE189502871,EZWXNZCG4HW5,50000000,EUR,Buy,07/14/2022 12:28:57,0.00448,BFXS5XCH7N0Y05NIXW11,ABN AMRO Bank N.V.,"['ABNANL2AXXX', 'BETHDEF1XXX', 'GSLANL21XXX', 'KBWFNL21XXX', 'VSBVNL21XXX', 'ZEELNL21XXX']","Abs(50000000 * (1 / 0,00448) - 50000000)",11110714285.714289
0000452AMARKITWIRE190106524,EZ848JR3VBM1,6900000,EUR,Buy,07/25/2022 14:34:28,0.00633,BFXS5XCH7N0Y05NIXW11,ABN AMRO Bank N.V.,"['ABNANL2AXXX', 'BETHDEF1XXX', 'GSLANL21XXX', 'KBWFNL21XXX', 'VSBVNL21XXX', 'ZEELNL21XXX']","Abs(6900000 * (1 / 0,00633) - 6900000)",1083147393.364929
0000452AMARKITWIRE150674490,EZH7KHTJD052,45000000,EUR,Buy,09/27/2019 14:32:11,0.00427,BFXS5XCH7N0Y05NIXW11,ABN AMRO Bank N.V.,"['ABNANL2AXXX', 'BETHDEF1XXX', 'GSLANL21XXX', 'KBWFNL21XXX', 'VSBVNL21XXX', 'ZEELNL21XXX']","Abs(45000000 * (1 / 0,00427) - 45000000)",10493641686.182669
0000452AMARKITWIRE188631428,EZDYJN1BK9K2,4600000,EUR,Buy,06/30/2022 11:50:48,6e-05,4PQUHN3JPFGFNF3BB653,MORGAN STANLEY & CO. INTERNATIONAL PLC,['MSLNGB2XXXX'],4600000 * 6E-05 - 4600000,-4599724.0
0000452AMARKITWIRE190106543,EZF6Q1GFJ316,7400000,EUR,Buy,07/25/2022 14:35:59,0.00633,BFXS5XCH7N0Y05NIXW11,ABN AMRO Bank N.V.,"['ABNANL2AXXX', 'BETHDEF1XXX', 'GSLANL21XXX', 'KBWFNL21XXX', 'VSBVNL21XXX', 'ZEELNL21XXX']","Abs(7400000 * (1 / 0,00633) - 7400000)",1161636334.9131124
0000452AMARKITWIRE187215187,EZ2KJCJ083B8,60000000,EUR,Buy,06/10/2022 16:08:07,0.00063,BFXS5XCH7N0Y05NIXW11,ABN AMRO Bank N.V.,"['ABNANL2AXXX', 'BETHDEF1XXX', 'GSLANL21XXX', 'KBWFNL21XXX', 'VSBVNL21XXX', 'ZEELNL21XXX']","Abs(60000000 * (1 / 0,00063) - 60000000)",95178095238.09525
10302389174A38DCE0DBA811E9B389B9699A7DC0CC,EZ69M311SB39,11000000,GBP,Buy,03/04/2015 13:00:00,0.0011,4PQUHN3JPFGFNF3BB653,MORGAN STANLEY & CO. INTERNATIONAL PLC,['MSLNGB2XXXX'],"11000000 * 0,0011 - 11000000",-10987900.0
